comparison_id,candidate_method,reference_method,metric,resampling_unit,omitted_cluster,cluster_count_retained,full_mean_paired_difference,leave_one_out_mean_paired_difference,change_from_full_mean,independence_status
C1,realtime_fast,bytetrack_raw,IDF1,VIDEO,Pigs301119_000330_30fps,12,0.05121184605369982,0.045693620261878516,-0.005518225791821305,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDSW_STANDARD,VIDEO,Pigs281119_000085_30fps,12,-4.230769230769231,-4.583333333333333,-0.3525641025641022,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDSW_STANDARD,VIDEO,Pigs281119_000114_30fps,12,-4.230769230769231,-4.25,-0.019230769230769162,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDSW_STANDARD,VIDEO,Pigs291119_000216_30fps,12,-4.230769230769231,-4.25,-0.019230769230769162,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDSW_STANDARD,VIDEO,Pigs291119_000225_30fps,12,-4.230769230769231,-4.583333333333333,-0.3525641025641022,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDSW_STANDARD,VIDEO,Pigs291119_000226_30fps,12,-4.230769230769231,-4.416666666666667,-0.18589743589743613,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDSW_STANDARD,VIDEO,Pigs291119_000231_30fps,12,-4.230769230769231,-2.8333333333333335,1.3974358974358974,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDSW_STANDARD,VIDEO,Pigs291119_000233_30fps,12,-4.230769230769231,-3.75,0.48076923076923084,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDSW_STANDARD,VIDEO,Pigs291119_000263_30fps,12,-4.230769230769231,-4.75,-0.5192307692307692,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDSW_STANDARD,VIDEO,Pigs291119_000302_30fps,12,-4.230769230769231,-4.416666666666667,-0.18589743589743613,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDSW_STANDARD,VIDEO,Pigs301119_000327_30fps,12,-4.230769230769231,-4.25,-0.019230769230769162,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDSW_STANDARD,VIDEO,Pigs301119_000328_30fps,12,-4.230769230769231,-4.25,-0.019230769230769162,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDSW_STANDARD,VIDEO,Pigs301119_000329_30fps,12,-4.230769230769231,-4.416666666666667,-0.18589743589743613,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,IDSW_STANDARD,VIDEO,Pigs301119_000330_30fps,12,-4.230769230769231,-4.25,-0.019230769230769162,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_frames,VIDEO,Pigs281119_000085_30fps,12,-1534.8461538461538,-1662.0,-127.15384615384619,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_frames,VIDEO,Pigs281119_000114_30fps,12,-1534.8461538461538,-1331.25,203.5961538461538,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_frames,VIDEO,Pigs291119_000216_30fps,12,-1534.8461538461538,-1661.0,-126.15384615384619,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_frames,VIDEO,Pigs291119_000225_30fps,12,-1534.8461538461538,-1662.75,-127.90384615384619,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_frames,VIDEO,Pigs291119_000226_30fps,12,-1534.8461538461538,-1660.9166666666667,-126.07051282051293,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
C1,realtime_fast,bytetrack_raw,wrong_identity_frames,VIDEO,Pigs291119_000231_30fps,12,-1534.8461538461538,-1474.25,60.59615384615381,INTER_VIDEO_INDEPENDENCE_UNRESOLVED
